variant,model,accuracy,roc_auc,f1,precision,recall,tn,fp,fn,tp
Adjusted,Random Forest,0.9284718996748723,0.8513888296283655,0.3165680473372781,0.32326283987915405,0.3101449275362319,5890,224,238,107
Adjusted,Logistic Regression,0.7759715126180523,0.8483380978794214,0.2658548959918823,0.16113161131611317,0.7594202898550725,4750,1364,83,262
Unadjusted,Random Forest,0.9232079269236724,0.8191681718839632,0.3224043715846995,0.3049095607235142,0.34202898550724636,5845,269,227,118
Unadjusted,Logistic Regression,0.7620374671001703,0.8137621898896806,0.2535211267605634,0.15227537922987164,0.7565217391304347,4661,1453,84,261
