variant,model,accuracy,roc_auc,f1,precision,recall,tn,fp,fn,tp
Adjusted,Random Forest,0.9284718996748723,0.8513888296283655,0.3165680473372781,0.32326283987915405,0.3101449275362319,5890,224,238,107
Adjusted,Logistic Regression,0.7759715126180523,0.8483380978794214,0.2658548959918823,0.16113161131611317,0.7594202898550725,4750,1364,83,262
