variant,model,accuracy,roc_auc,f1,precision,recall,tn,fp,fn,tp
Adjusted,Logistic Regression,0.7897953760297635,0.8590937939163155,0.25866916588566075,0.15418994413407822,0.8023255813953488,2834,757,34,138
Adjusted,Random Forest,0.9484453893170343,0.8588201770576313,0.3263888888888889,0.4051724137931034,0.27325581395348836,3522,69,125,47
