model,accuracy,roc_auc,f1,precision,recall,tn,fp,fn,tp
Random Forest,0.9149614669146957,0.8601720710043843,0.34959349593495936,0.26875,0.5,3357,234,86,86
Logistic Regression,0.7897953760297635,0.8590937939163155,0.25866916588566075,0.15418994413407822,0.8023255813953488,2834,757,34,138
