feature,mean_abs_shap
BP1_reversed,0.2069788836969211
sex_numeric,0.031703608065020775
age_numeric,0.030536318682016533
sleep_avg_weighted,0.028920321112099474
edu_numeric,0.02640573362682375
weekday_sleep_hours,0.022142782878895276
HE_glu_numeric,0.021708731426706346
BS1_1_recoded,0.018680038633082662
pulse_pressure,0.01842098936606359
weekend_sleep_hours,0.017636232483801504
MAP,0.017550100566363788
HE_sbp_numeric,0.016778921367687716
HE_dbp_numeric,0.016670547976365076
total_mvpa_min_week,0.015262270335403925
BD2_31_numeric,0.011362520488623646
marri_1_numeric,0.009977053180151721
HE_obe_numeric,0.00874070912943383
pulse_irregular,0.0006428870651419731
