variant,model,accuracy,roc_auc,f1,precision,recall,tn,fp,fn,tp
Adjusted,Logistic Regression,0.7897953760297635,0.8590937939163155,0.25866916588566075,0.15418994413407822,0.8023255813953488,2834,757,34,138
Adjusted,Random Forest,0.9484453893170343,0.8588201770576313,0.3263888888888889,0.4051724137931034,0.27325581395348836,3522,69,125,47
Unadjusted,Random Forest,0.929697890936728,0.8249562512152442,0.2857142857142857,0.2857142857142857,0.2857142857142857,4819,185,185,74
Unadjusted,Logistic Regression,0.7678130343910318,0.8235187911446904,0.2466091245376079,0.1467351430667645,0.7722007722007722,3841,1163,59,200
